ko_id,gene_name,subcategory,evidence_tier,lambda_original,genus,n_genomes_with_ko,genus_genome_total,presence_fraction,y_transformed
K16784,,,,,kurthia,1,19,0.05263157894736842,0.23147736397017837
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,b1sed10-166,1,7,0.14285714285714285,0.3875966866551806
K09817,,,,,jaimjy01,2,2,0.9999,1.5607961601207307
K03795,,,,,haloferula,1,1,0.9999,1.5607961601207307
K00240,,,,,acidovorax_c,3,5,0.6,0.8860771237926137
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,fen-1255,1,2,0.5,0.7853981633974484
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,jabwcl01,1,4,0.25,0.5235987755982989
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,syan01,1,2,0.5,0.7853981633974484
K02190,cbiK,Transport/Homeostasis,Tier 2,0.7861808686665489,heritagella,4,13,0.3076923076923077,0.5880026035475676
K16264,,,,,enemella,2,8,0.25,0.5235987755982989
K03831,,,,,vxrd01,3,9,0.3333333333333333,0.6154797086703873
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,salipiger,3,29,0.10344827586206896,0.3274544261462247
K02230,cobN,Transport/Homeostasis,Tier 2,0.8493536953288198,bin76,1,5,0.2,0.4636476090008061
K00245,,,,,bordetella_a,2,8,0.25,0.5235987755982989
K08225,entS,Transport/Homeostasis,Tier 2,0.4171390725213793,wfxv01,1,2,0.5,0.7853981633974484
K07798,,,,,algiphilus,1,3,0.3333333333333333,0.6154797086703873
K02230,cobN,Transport/Homeostasis,Tier 2,0.8493536953288198,gemmatimonas,7,12,0.5833333333333334,0.869122203007293
K03831,,,,,raphidiopsis,3,7,0.42857142857142855,0.7137243789447656
K15725,,,,,skps01,2,2,0.9999,1.5607961601207307
K02230,cobN,Transport/Homeostasis,Tier 2,0.8493536953288198,sedimentitalea,1,2,0.5,0.7853981633974484
K03750,,,,,pantoea_a,1,1,0.9999,1.5607961601207307
K15725,,,,,jagnke01,4,10,0.4,0.684719203002283
K08365,,,,,uba4207,2,4,0.5,0.7853981633974484
K03673,dsbA,Unknown,Tier 2,0.6413594922712997,wielerella,1,2,0.5,0.7853981633974484
K09815,,,,,sg-bin9,2,2,0.9999,1.5607961601207307
K02008,,,,,surf-55,1,1,0.9999,1.5607961601207307
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,jadgda01,1,2,0.5,0.7853981633974484
K11704,,,,,thalassobacillus,1,2,0.5,0.7853981633974484
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,casp-actino8,2,17,0.11764705882352941,0.3501057777671456
K01534,,,,,jafarw01,1,2,0.5,0.7853981633974484
K16915,,,,,desulfobulbus,2,2,0.9999,1.5607961601207307
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,phci01,2,2,0.9999,1.5607961601207307
K09818,,,,,multiplicimicrobium,1,2,0.5,0.7853981633974484
K02077,,,,,caimey01,1,2,0.5,0.7853981633974484
K16915,,,,,spirirestis,1,2,0.5,0.7853981633974484
K02008,,,,,anaerofustis,2,4,0.5,0.7853981633974484
K03831,,,,,rbg-16-66-30,1,6,0.16666666666666666,0.4205343352839651
K16264,,,,,vxyl01,1,4,0.25,0.5235987755982989
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,cajwos01,1,2,0.5,0.7853981633974484
K02010,,,,,uba721,3,16,0.1875,0.44783239692893245
K02075,,,,,salibaculum,1,2,0.5,0.7853981633974484
K02015,,,,,uba9087,1,1,0.9999,1.5607961601207307
K02483,,,,,metallibacterium,3,7,0.42857142857142855,0.7137243789447656
K15727,,,,,magnetobacterium,3,8,0.375,0.659058035826409
K02075,,,,,2-02-full-39-32,1,1,0.9999,1.5607961601207307
K11709,troD,Transport/Homeostasis,Tier 1,0.2209258229638139,r2a130,2,5,0.4,0.684719203002283
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,jaioyv01,1,2,0.5,0.7853981633974484
K03750,,,,,pseudocolwellia,1,2,0.5,0.7853981633974484
K05895,,,,,caldanaerobacter,1,3,0.3333333333333333,0.6154797086703873
K02483,,,,,uba2994,1,2,0.5,0.7853981633974484
K00240,,,,,haloactinopolyspora,2,2,0.9999,1.5607961601207307
K00380,,,,,uba5070,3,3,0.9999,1.5607961601207307
K02074,,,,,sxtu01,2,10,0.2,0.4636476090008061
K00240,,,,,bd2-11,3,6,0.5,0.7853981633974484
K00240,,,,,acamd-5,1,2,0.5,0.7853981633974484
K00240,,,,,uba12077,2,4,0.5,0.7853981633974484
K00240,,,,,steroidobacter_a,1,2,0.5,0.7853981633974484
K11708,troC,Transport/Homeostasis,Tier 1,0.1610462487044206,aminobacter,6,17,0.35294117647058826,0.6361320628050102
K02016,,,,,oleidesulfovibrio,2,2,0.9999,1.5607961601207307
K02077,,,,,pararhodobacter,4,13,0.3076923076923077,0.5880026035475676
K16264,,,,,magnetospirillum,3,11,0.2727272727272727,0.5494672447576274
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,jafdgz01,1,2,0.5,0.7853981633974484
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,naasia,1,5,0.2,0.4636476090008061
K16915,,,,,cag-95,1,26,0.038461538461538464,0.19739555984988078
K16264,,,,,rfno01,1,2,0.5,0.7853981633974484
K02077,,,,,vyfg01,1,5,0.2,0.4636476090008061
K16783,,,,,jafdfz01,1,2,0.5,0.7853981633974484
K02230,cobN,Transport/Homeostasis,Tier 2,0.8493536953288198,vxmp01,2,9,0.2222222222222222,0.49088267828931137
K00240,,,,,jabheg01,1,3,0.3333333333333333,0.6154797086703873
K02016,,,,,uba12567,3,6,0.5,0.7853981633974484
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,suipraeoptans,1,2,0.5,0.7853981633974484
K00240,,,,,competibacter,1,2,0.5,0.7853981633974484
K02015,,,,,vicingus,4,8,0.5,0.7853981633974484
K09882,,,,,roseibium,8,28,0.2857142857142857,0.5639426413606289
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,mycetocola_a,3,6,0.5,0.7853981633974484
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,caiuwa01,4,4,0.9999,1.5607961601207307
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,er4,1,42,0.023809523809523808,0.15492231987081348
K02190,cbiK,Transport/Homeostasis,Tier 2,0.7861808686665489,aliarcobacter,2,81,0.024691358024691357,0.15778877805238076
K03750,,,,,eubacterium_g,1,17,0.058823529411764705,0.24497866312686414
K00240,,,,,cf-72,3,6,0.5,0.7853981633974484
K09815,,,,,cocleimonas,2,2,0.9999,1.5607961601207307
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,okeania,3,5,0.6,0.8860771237926137
K01534,,,,,geosporobacter,2,2,0.9999,1.5607961601207307
K03446,emrB,Resistance/Detoxification,Tier 2,0.6930795793230609,av69,1,7,0.14285714285714285,0.3875966866551806
K03981,,,,,caivhb01,2,4,0.5,0.7853981633974484
K05895,,,,,jaczqv01,2,7,0.2857142857142857,0.5639426413606289
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,enterocloster,1,80,0.0125,0.11203764265090962
K02074,,,,,cf-96,1,2,0.5,0.7853981633974484
K02483,,,,,gwc1-40-9,1,1,0.9999,1.5607961601207307
K02015,,,,,xyc2-full-46-14,1,2,0.5,0.7853981633974484
K09816,,,,,mesobacillus,9,17,0.5294117647058824,0.8148269163709889
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,cainfc01,2,3,0.6666666666666666,0.9553166181245093
K16264,,,,,symplocastrum,2,2,0.9999,1.5607961601207307
K09817,,,,,vagococcus_a,3,8,0.375,0.659058035826409
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,jaklkb01,1,1,0.9999,1.5607961601207307
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,cg2-30-51-40,1,3,0.3333333333333333,0.6154797086703873
K02483,,,,,tmed2,3,4,0.75,1.0471975511965976
K01534,,,,,ramlibacter,1,7,0.14285714285714285,0.3875966866551806
K16264,,,,,zhouia,1,3,0.3333333333333333,0.6154797086703873
K02013,,,,,jackph01,1,2,0.5,0.7853981633974484
K02006,,,,,jahjjf01,1,2,0.5,0.7853981633974484
K02069,STAR2,Transport/Homeostasis,Tier 1,0.5138841377981769,priestia_d,1,2,0.5,0.7853981633974484
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,paenibacillus_e,5,15,0.3333333333333333,0.6154797086703873
K09815,,,,,uba4720,2,9,0.2222222222222222,0.49088267828931137
K02069,STAR2,Transport/Homeostasis,Tier 1,0.5138841377981769,dyow01,1,2,0.5,0.7853981633974484
K09816,,,,,sedimentisphaera,1,1,0.9999,1.5607961601207307
K16264,,,,,jafdek01,2,2,0.9999,1.5607961601207307
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,caisip01,1,8,0.125,0.36136712390670783
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,uba1952,2,2,0.9999,1.5607961601207307
K02075,,,,,vazq01,5,9,0.5555555555555556,0.8410686705679302
K03638,,,,,pseudomaricurvus,2,4,0.5,0.7853981633974484
K02484,,,,,actinopolyspora,2,7,0.2857142857142857,0.5639426413606289
K19973,,,,,lc5-1,1,2,0.5,0.7853981633974484
K19973,,,,,mobilitalea,3,14,0.21428571428571427,0.4812753739423435
K20170,,,,,cf-113,1,2,0.5,0.7853981633974484
K15727,,,,,sxnl01,1,3,0.3333333333333333,0.6154797086703873
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,n075bin58,3,6,0.5,0.7853981633974484
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,uba10566,1,5,0.2,0.4636476090008061
K03750,,,,,anaerocolumna,1,18,0.05555555555555555,0.23794112483020827
K02015,,,,,o2-12-full-45-9-a,1,1,0.9999,1.5607961601207307
K03981,,,,,vogesella,2,5,0.4,0.684719203002283
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,clostridium_ao,2,5,0.4,0.684719203002283
K09882,,,,,minwuia,1,2,0.5,0.7853981633974484
K09815,,,,,shyg01,1,2,0.5,0.7853981633974484
K09819,,,,,caadgn01,1,4,0.25,0.5235987755982989
K09815,,,,,awtp1-13,1,2,0.5,0.7853981633974484
K02016,,,,,magnetaquicoccus,2,4,0.5,0.7853981633974484
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,dehalobacterium,1,2,0.5,0.7853981633974484
K09883,cobT,Transport/Homeostasis,Tier 2,0.846628805205085,zymomonas,2,5,0.4,0.684719203002283
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,rubinisphaera,4,4,0.9999,1.5607961601207307
K07644,cusS,Sensing/Regulation,Tier 1,0.5829791855461725,roseateles,3,6,0.5,0.7853981633974484
K02075,,,,,oenococcus,3,16,0.1875,0.44783239692893245
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,opu3-gd-omz,2,9,0.2222222222222222,0.49088267828931137
K11606,sitD,Transport/Homeostasis,Tier 1,0.3064857252891996,jackjp01,1,2,0.5,0.7853981633974484
K09815,,,,,rug343,1,1,0.9999,1.5607961601207307
K02225,cobC1,Cofactor Biosynthesis,Tier 2,0.8286025046403807,pacificimonas,2,3,0.6666666666666666,0.9553166181245093
K19591,,,,,merdibacter,1,7,0.14285714285714285,0.3875966866551806
K13638,zntR,Sensing/Regulation,Tier 2,0.9113917988122212,flavobacterium,3,238,0.012605042016806723,0.11250939222560967
K19591,,,,,jakaqb01,2,4,0.5,0.7853981633974484
K03831,,,,,caixix01,1,5,0.2,0.4636476090008061
K02077,,,,,limnohabitans_a,2,43,0.046511627906976744,0.21737336457096768
K16264,,,,,m3007,4,16,0.25,0.5235987755982989
K16915,,,,,skry01,1,3,0.3333333333333333,0.6154797086703873
K02016,,,,,uba9715,4,4,0.9999,1.5607961601207307
K03638,,,,,sat37,1,2,0.5,0.7853981633974484
K11601,mntC,Transport/Homeostasis,Tier 2,0.0001059596688143,caixzv01,3,7,0.42857142857142855,0.7137243789447656
K15727,,,,,o2-full-52-10,1,1,0.9999,1.5607961601207307
K02074,,,,,lichenihabitans,1,3,0.3333333333333333,0.6154797086703873
K02016,,,,,sksp01,1,2,0.5,0.7853981633974484
K02010,,,,,cag-41,2,8,0.25,0.5235987755982989
K11710,,,,,uba9410,5,20,0.25,0.5235987755982989
K09816,,,,,otariodibacter,1,2,0.5,0.7853981633974484
K03981,,,,,sxqi01,2,3,0.6666666666666666,0.9553166181245093
K09816,,,,,jahjrn01,1,2,0.5,0.7853981633974484
K02008,,,,,rubrobacter_b,1,2,0.5,0.7853981633974484
K11607,,,,,tmed25,2,14,0.14285714285714285,0.3875966866551806
K16783,,,,,proteiniclasticum,1,4,0.25,0.5235987755982989
K11708,troC,Transport/Homeostasis,Tier 1,0.1610462487044206,brevibacillus_b,3,34,0.08823529411764706,0.30159570280483483
K02483,,,,,fumia,1,1,0.9999,1.5607961601207307
K09883,cobT,Transport/Homeostasis,Tier 2,0.846628805205085,hellea,1,2,0.5,0.7853981633974484
K15727,,,,,uba4416,4,5,0.8,1.1071487177940904
K07798,,,,,perlucidibaca,1,1,0.9999,1.5607961601207307
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,ureibacillus,1,14,0.07142857142857142,0.2705497629785729
K09815,,,,,jamcqf01,1,2,0.5,0.7853981633974484
K03673,dsbA,Unknown,Tier 2,0.6413594922712997,azoarcus,2,4,0.5,0.7853981633974484
K03446,emrB,Resistance/Detoxification,Tier 2,0.6930795793230609,acuticoccus,3,5,0.6,0.8860771237926137
K15725,,,,,jadjrk01,1,2,0.5,0.7853981633974484
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,jaafhg01,2,2,0.9999,1.5607961601207307
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,uba5500,3,4,0.75,1.0471975511965976
K00245,,,,,gp6-aa38,1,2,0.5,0.7853981633974484
K00240,,,,,stagnimonas,1,2,0.5,0.7853981633974484
K07798,,,,,gwa2-49-15,1,2,0.5,0.7853981633974484
K16784,,,,,oceaniferula,1,6,0.16666666666666666,0.4205343352839651
K00240,,,,,caipbj01,1,1,0.9999,1.5607961601207307
K03446,emrB,Resistance/Detoxification,Tier 2,0.6930795793230609,jajxwb01,2,4,0.5,0.7853981633974484
K11710,,,,,imperialibacter,1,3,0.3333333333333333,0.6154797086703873
K03446,emrB,Resistance/Detoxification,Tier 2,0.6930795793230609,bog-515,1,4,0.25,0.5235987755982989
K08225,entS,Transport/Homeostasis,Tier 2,0.4171390725213793,deinococcus,1,49,0.02040816326530612,0.14334756890536535
K02015,,,,,uba7445,1,2,0.5,0.7853981633974484
K19973,,,,,uba9410,1,20,0.05,0.2255134058981312
K03638,,,,,uba8337,2,6,0.3333333333333333,0.6154797086703873
K02008,,,,,caijlm01,1,3,0.3333333333333333,0.6154797086703873
K02069,STAR2,Transport/Homeostasis,Tier 1,0.5138841377981769,halochromatium,2,5,0.4,0.684719203002283
K00240,,,,,jadjrg01,1,2,0.5,0.7853981633974484
K07644,cusS,Sensing/Regulation,Tier 1,0.5829791855461725,jaiemt01,1,2,0.5,0.7853981633974484
K07798,,,,,tmed27,3,5,0.6,0.8860771237926137
K16264,,,,,jafavn01,1,2,0.5,0.7853981633974484
K05895,,,,,parasutterella,1,15,0.06666666666666667,0.2611574109030243
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,tindallia,1,2,0.5,0.7853981633974484
K02015,,,,,herbidospora,1,2,0.5,0.7853981633974484
K02013,,,,,uba9865,2,2,0.9999,1.5607961601207307
K02013,,,,,cag-56,3,8,0.375,0.659058035826409
K11604,sitA,Transport/Homeostasis,Tier 1,0.3168208363272951,mannheimia,4,19,0.21052631578947367,0.47667961158977024
K09819,,,,,jaedln01,1,1,0.9999,1.5607961601207307
K11709,troD,Transport/Homeostasis,Tier 1,0.2209258229638139,kiloniella,2,5,0.4,0.684719203002283
K02016,,,,,jacpwu01,1,1,0.9999,1.5607961601207307
K02077,,,,,zymobacter,1,2,0.5,0.7853981633974484
K00240,,,,,caivxw01,1,2,0.5,0.7853981633974484
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,jagowq01,1,4,0.25,0.5235987755982989
K11705,,,,,paenibacillus_an,1,2,0.5,0.7853981633974484
K02015,,,,,uba5157,2,3,0.6666666666666666,0.9553166181245093
K11710,,,,,lc2-1,1,2,0.5,0.7853981633974484
K03750,,,,,wtxa01,1,2,0.5,0.7853981633974484
K09882,,,,,acidithiobacillus_a,1,11,0.09090909090909091,0.30627736916966947
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,ocs116,1,2,0.5,0.7853981633974484
K11707,troA,Transport/Homeostasis,Tier 1,0.1427548455398582,terribacillus,3,12,0.25,0.5235987755982989
K02015,,,,,rug842,1,2,0.5,0.7853981633974484
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,halioglobus_a,2,2,0.9999,1.5607961601207307
K10094,,,,,uba665,1,2,0.5,0.7853981633974484
K19591,,,,,gca-2715505,1,2,0.5,0.7853981633974484
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,silvanigrella,1,2,0.5,0.7853981633974484
K19972,,,,,lapidilactobacillus,1,5,0.2,0.4636476090008061
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,solimicrobium,2,3,0.6666666666666666,0.9553166181245093
K02010,,,,,trichormus,2,16,0.125,0.36136712390670783
K09819,,,,,pla3,1,2,0.5,0.7853981633974484
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,wybj01,1,2,0.5,0.7853981633974484
K11605,sitC,Transport/Homeostasis,Tier 1,0.1810812746006144,jaallb01,1,2,0.5,0.7853981633974484
K01534,,,,,hgm13010,3,3,0.9999,1.5607961601207307
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,sylg01,2,5,0.4,0.684719203002283
K09815,,,,,cakqoe01,1,2,0.5,0.7853981633974484
K02009,cbiN,Transport/Homeostasis,Tier 2,0.5686107849885613,syntrophaceticus,1,3,0.3333333333333333,0.6154797086703873
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,tepidiphilus,2,4,0.5,0.7853981633974484
K16264,,,,,uba9968,3,8,0.375,0.659058035826409
K11607,,,,,thalassococcus,1,2,0.5,0.7853981633974484
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,smwn01,2,4,0.5,0.7853981633974484
K07798,,,,,jajvhz01,1,2,0.5,0.7853981633974484
K02015,,,,,jakahc01,2,3,0.6666666666666666,0.9553166181245093
K02075,,,,,jacrma01,1,2,0.5,0.7853981633974484
K03750,,,,,vicingus,3,8,0.375,0.659058035826409
K09815,,,,,uba10424,3,3,0.9999,1.5607961601207307
K02483,,,,,jadjah01,1,3,0.3333333333333333,0.6154797086703873
K02484,,,,,nevskia,1,8,0.125,0.36136712390670783
K02006,,,,,uba7930,1,2,0.5,0.7853981633974484
K15727,,,,,b1sed10-174,1,2,0.5,0.7853981633974484
K09817,,,,,jadjqy01,1,2,0.5,0.7853981633974484
K02009,cbiN,Transport/Homeostasis,Tier 2,0.5686107849885613,ch115,1,1,0.9999,1.5607961601207307
K09820,,,,,uba721,1,16,0.0625,0.25268025514207865
K02074,,,,,cg2-30-53-67,1,3,0.3333333333333333,0.6154797086703873
K03673,dsbA,Unknown,Tier 2,0.6413594922712997,muribacter,2,4,0.5,0.7853981633974484
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,brevilactibacter,2,3,0.6666666666666666,0.9553166181245093
K09816,,,,,rug592,7,9,0.7777777777777778,1.0799136485055854
K03638,,,,,jabjjh01,1,3,0.3333333333333333,0.6154797086703873
K00240,,,,,jaewgm01,1,2,0.5,0.7853981633974484
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,alkalispirochaeta,1,7,0.14285714285714285,0.3875966866551806
K11705,,,,,enterococcus_g,1,12,0.08333333333333333,0.2928427717285755
K03673,dsbA,Unknown,Tier 2,0.6413594922712997,uba967,2,4,0.5,0.7853981633974484
K02013,,,,,bibersteinia,5,5,0.9999,1.5607961601207307
K02010,,,,,marihabitans,1,6,0.16666666666666666,0.4205343352839651
K02013,,,,,syntrophothermus,1,2,0.5,0.7853981633974484
K03831,,,,,bradyrhizobium,4,325,0.012307692307692308,0.11116887825182585
K00380,,,,,slad01,3,4,0.75,1.0471975511965976
K02190,cbiK,Transport/Homeostasis,Tier 2,0.7861808686665489,gallispira,1,4,0.25,0.5235987755982989
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,uba12202,1,2,0.5,0.7853981633974484
K02483,,,,,jahjtx01,2,3,0.6666666666666666,0.9553166181245093
K19591,,,,,uba1147,2,3,0.6666666666666666,0.9553166181245093
K16264,,,,,fen-1135,3,5,0.6,0.8860771237926137
K15725,,,,,uba7326,1,7,0.14285714285714285,0.3875966866551806
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,leeuwenhoekiella,2,23,0.08695652173913043,0.29933402641777124
K02075,,,,,flexivirga,1,2,0.5,0.7853981633974484
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,gn02-873,2,2,0.9999,1.5607961601207307
K02006,,,,,uba2598,2,3,0.6666666666666666,0.9553166181245093
K03638,,,,,buttiauxella,6,19,0.3157894736842105,0.5967431472175736
K02230,cobN,Transport/Homeostasis,Tier 2,0.8493536953288198,lawsonella,2,6,0.3333333333333333,0.6154797086703873
K02483,,,,,pusillimonas_d,2,2,0.9999,1.5607961601207307
K19591,,,,,knoellia,1,2,0.5,0.7853981633974484
K03750,,,,,smwn01,1,4,0.25,0.5235987755982989
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,carnobacterium_a,7,18,0.3888888888888889,0.6733516172467628
K02015,,,,,jafiew01,2,2,0.9999,1.5607961601207307
K09817,,,,,lactonifactor,2,4,0.5,0.7853981633974484
K08365,,,,,olb17,3,21,0.14285714285714285,0.3875966866551806
K02016,,,,,jaausq01,2,2,0.9999,1.5607961601207307
K08365,,,,,jajyyi01,1,3,0.3333333333333333,0.6154797086703873
K09817,,,,,kamptonema,1,2,0.5,0.7853981633974484
K00380,,,,,microvirga,4,12,0.3333333333333333,0.6154797086703873
K09817,,,,,sv3-b162,2,2,0.9999,1.5607961601207307
K02069,STAR2,Transport/Homeostasis,Tier 1,0.5138841377981769,parageobacillus,5,17,0.29411764705882354,0.573203309100855
K13638,zntR,Sensing/Regulation,Tier 2,0.9113917988122212,fimadaptatus,2,4,0.5,0.7853981633974484
K02006,,,,,slmp01,1,3,0.3333333333333333,0.6154797086703873
K07798,,,,,siccibacter,1,5,0.2,0.4636476090008061
K14717,,,,,uba2224,1,3,0.3333333333333333,0.6154797086703873
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,jahbup01,1,2,0.5,0.7853981633974484
K15727,,,,,rubrimentiphilum,2,3,0.6666666666666666,0.9553166181245093
K02016,,,,,paenibacillus_an,2,2,0.9999,1.5607961601207307
K09818,,,,,gwa2-49-15,1,2,0.5,0.7853981633974484
K03446,emrB,Resistance/Detoxification,Tier 2,0.6930795793230609,tmp-24,1,2,0.5,0.7853981633974484
K03750,,,,,cabjbcq01,2,3,0.6666666666666666,0.9553166181245093
K03673,dsbA,Unknown,Tier 2,0.6413594922712997,calzhw01,1,2,0.5,0.7853981633974484
K02006,,,,,halopolyspora,1,2,0.5,0.7853981633974484
K00380,,,,,paracnuella,1,2,0.5,0.7853981633974484
K19591,,,,,pseudomonas_k,2,4,0.5,0.7853981633974484
K03831,,,,,hydrogenophilus,1,2,0.5,0.7853981633974484
K09818,,,,,herbiconiux,1,6,0.16666666666666666,0.4205343352839651
K02015,,,,,cssed11-154,2,2,0.9999,1.5607961601207307
K02075,,,,,uba2128,1,4,0.25,0.5235987755982989
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,jaacdm01,2,3,0.6666666666666666,0.9553166181245093
K02016,,,,,cr04bin15,1,1,0.9999,1.5607961601207307
K01534,,,,,rug11198,4,4,0.9999,1.5607961601207307
K03750,,,,,alicyclobacillus_i,1,2,0.5,0.7853981633974484
K02009,cbiN,Transport/Homeostasis,Tier 2,0.5686107849885613,jaayjk01,1,2,0.5,0.7853981633974484
K03831,,,,,nitratifractor,1,3,0.3333333333333333,0.6154797086703873
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,chroococcidiopsis,1,8,0.125,0.36136712390670783
K00245,,,,,rgig464,1,2,0.5,0.7853981633974484
K16784,,,,,uba11524,2,6,0.3333333333333333,0.6154797086703873
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,vxmf01,1,10,0.1,0.3217505543966422
K02230,cobN,Transport/Homeostasis,Tier 2,0.8493536953288198,spirosoma,2,10,0.2,0.4636476090008061
K09883,cobT,Transport/Homeostasis,Tier 2,0.846628805205085,jagfwp01,2,2,0.9999,1.5607961601207307
K02016,,,,,cg2-30-36-11,2,3,0.6666666666666666,0.9553166181245093
K02483,,,,,jackhc01,1,3,0.3333333333333333,0.6154797086703873
K02015,,,,,wlxb01,1,3,0.3333333333333333,0.6154797086703873
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,jacniz01,1,2,0.5,0.7853981633974484
K09816,,,,,w5053,1,2,0.5,0.7853981633974484
K09820,,,,,jacqva1,1,2,0.5,0.7853981633974484
K16783,,,,,agreia,3,9,0.3333333333333333,0.6154797086703873
K03673,dsbA,Unknown,Tier 2,0.6413594922712997,undibacterium,4,11,0.36363636363636365,0.6472848480156526
K02008,,,,,prochlorothrix,1,2,0.5,0.7853981633974484
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,croceibacter,1,7,0.14285714285714285,0.3875966866551806
K15725,,,,,gca-2698995,1,2,0.5,0.7853981633974484
K02075,,,,,methylonatrum,1,2,0.5,0.7853981633974484
K00380,,,,,uba1732,2,4,0.5,0.7853981633974484
K11705,,,,,neobacillus,2,33,0.06060606060606061,0.2487400499592814
K09817,,,,,uba9410,2,20,0.1,0.3217505543966422
K15727,,,,,uba1543,2,4,0.5,0.7853981633974484
K01534,,,,,wfxv01,1,2,0.5,0.7853981633974484
K02069,STAR2,Transport/Homeostasis,Tier 1,0.5138841377981769,methylovulum,4,20,0.2,0.4636476090008061
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,palsa-1382,1,2,0.5,0.7853981633974484
K02483,,,,,mgbc164599,1,5,0.2,0.4636476090008061
K19591,,,,,tepidimonas,1,10,0.1,0.3217505543966422
K03638,,,,,bin65,4,7,0.5714285714285714,0.8570719478501309
K02483,,,,,zwartia,4,4,0.9999,1.5607961601207307
K02013,,,,,uba10347,2,2,0.9999,1.5607961601207307
K09816,,,,,uba1259,1,12,0.08333333333333333,0.2928427717285755
K19976,mntB,Transport/Homeostasis,Tier 2,0.3065316853443602,uba8904,1,10,0.1,0.3217505543966422
K19976,mntB,Transport/Homeostasis,Tier 2,0.3065316853443602,lc3-1,1,2,0.5,0.7853981633974484
K02010,,,,,uba1123,2,5,0.4,0.684719203002283
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,caimus01,1,2,0.5,0.7853981633974484
K02016,,,,,uba9862,3,4,0.75,1.0471975511965976
K09815,,,,,hyphomicrobium_a,2,5,0.4,0.684719203002283
K02010,,,,,paracandidimonas,2,2,0.9999,1.5607961601207307
