ko_id,gene_name,subcategory,evidence_tier,lambda_original,genus,n_genomes_with_ko,genus_genome_total,presence_fraction,y_transformed
K02013,,,,,uba5177,1,2,0.5,0.7853981633974484
K09818,,,,,pseudanabaena,6,10,0.6,0.8860771237926137
K02015,,,,,uba955,9,17,0.5294117647058824,0.8148269163709889
K02016,,,,,allorhizobium,82,88,0.9318181818181818,1.3066176946497714
K03446,emrB,Resistance/Detoxification,Tier 2,0.6930795793230609,aulosira,4,8,0.5,0.7853981633974484
K16264,,,,,phenylobacterium,22,44,0.5,0.7853981633974484
K02010,,,,,devosia_a,15,17,0.8823529411764706,1.220690549027751
K09820,,,,,brachybacterium,14,40,0.35,0.6330518363897496
K09817,,,,,jaezwr01,1,2,0.5,0.7853981633974484
K02015,,,,,uba7748,9,10,0.9,1.2490457723982544
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,gca-002790365,3,3,0.9999,1.5607961601207307
K02016,,,,,caimzw01,6,8,0.75,1.0471975511965976
K02009,cbiN,Transport/Homeostasis,Tier 2,0.5686107849885613,mwei01,2,2,0.9999,1.5607961601207307
K02230,cobN,Transport/Homeostasis,Tier 2,0.8493536953288198,cyanobium,20,24,0.8333333333333334,1.1502619915109316
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,globicatella,4,10,0.4,0.684719203002283
K02015,,,,,frigoribacterium,23,25,0.92,1.2840397745833483
K15727,,,,,ld21,15,28,0.5357142857142857,0.8211428883402087
K03750,,,,,stagnihabitans,2,4,0.5,0.7853981633974484
K07644,cusS,Sensing/Regulation,Tier 1,0.5829791855461725,udaeobacter,22,35,0.6285714285714286,0.9154303997546447
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,trueperella,6,17,0.35294117647058826,0.6361320628050102
K09818,,,,,uba10014,1,1,0.9999,1.5607961601207307
K09815,,,,,uba830,8,8,0.9999,1.5607961601207307
K15725,,,,,jadjmo01,2,2,0.9999,1.5607961601207307
K15727,,,,,thiodictyon,1,5,0.2,0.4636476090008061
K02225,cobC1,Cofactor Biosynthesis,Tier 2,0.8286025046403807,yoonia,9,19,0.47368421052631576,0.7590702092666635
K02015,,,,,weimeria,10,11,0.9090909090909091,1.2645189576252274
K00380,,,,,arachnia,1,26,0.038461538461538464,0.19739555984988078
K02483,,,,,propionicimonas,8,8,0.9999,1.5607961601207307
K01534,,,,,brucella,9,13,0.6923076923076923,0.9827937232473292
K00240,,,,,wtgl01,8,16,0.5,0.7853981633974484
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,leptospirillum,1,4,0.25,0.5235987755982989
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,uba5429,1,1,0.9999,1.5607961601207307
K02010,,,,,blautia_a,42,138,0.30434782608695654,0.5843738968484469
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,aliarcobacter,21,81,0.25925925925925924,0.5342260445679143
K13638,zntR,Sensing/Regulation,Tier 2,0.9113917988122212,pseudoalteromonas,49,222,0.22072072072072071,0.4890746710302958
K09815,,,,,nonlabens,14,14,0.9999,1.5607961601207307
K03831,,,,,uba1138,1,13,0.07692307692307693,0.2810349015028136
K19973,,,,,brevibacillus_b,5,34,0.14705882352941177,0.393564135328064
K02074,,,,,paucisalibacillus,3,4,0.75,1.0471975511965976
K09817,,,,,uba5609,1,2,0.5,0.7853981633974484
K02013,,,,,bilifractor,17,17,0.9999,1.5607961601207307
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,acetanaerobacterium,5,5,0.9999,1.5607961601207307
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,bacteroides,64,213,0.3004694835680751,0.5801518745528926
K20170,,,,,salmonella,8,90,0.08888888888888889,0.3027459516230044
K09883,cobT,Transport/Homeostasis,Tier 2,0.846628805205085,polynucleobacter,13,95,0.1368421052631579,0.37892480065542133
K03750,,,,,jabwbb01,1,2,0.5,0.7853981633974484
K08970,,,,,vibrio,70,639,0.10954616588419405,0.33733936769610273
K02013,,,,,mf105b01,7,8,0.875,1.2094292028881888
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,emergencia,3,6,0.5,0.7853981633974484
K05895,,,,,komagataeibacter,11,38,0.2894736842105263,0.5680954005937647
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,clostridium_l,2,9,0.2222222222222222,0.49088267828931137
K02010,,,,,luteolibacter,5,18,0.2777777777777778,0.5551211675567872
K02006,,,,,enterobacter,10,262,0.03816793893129771,0.19663079710440484
K19591,,,,,pantoea,53,186,0.2849462365591398,0.5630922232617891
K00240,,,,,ottowia,13,28,0.4642857142857143,0.749653438454688
K09819,,,,,caldilinea,12,17,0.7058823529411765,0.9975930176940416
K02074,,,,,cf-13,4,9,0.4444444444444444,0.7297276562269663
K16264,,,,,limosilactobacillus,41,98,0.41836734693877553,0.703398429239946
K09883,cobT,Transport/Homeostasis,Tier 2,0.846628805205085,prosthecomicrobium_a,1,2,0.5,0.7853981633974484
K02010,,,,,jackaz01,2,2,0.9999,1.5607961601207307
K08941,,,,,uba1407,3,6,0.5,0.7853981633974484
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,paenarthrobacter,24,36,0.6666666666666666,0.9553166181245093
K02015,,,,,sediminihabitans,2,2,0.9999,1.5607961601207307
